"Source","Target","Type","Weight","RelationType","Confidence","SourceKind","Notes"
"GridX","argenTAG","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","avatar-medtech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Beeflow","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","BioBlends","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","biocle","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","biodiversity-intelligence","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Bioeutectics","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","bioplaster-research","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","bioplaster-research-inc","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Bioplastix","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Bitgenia","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","BreakPET","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","bsafe-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","ByBug","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","calfix","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Caligenia","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","caspr-biotech","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","cell-farm","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","CellRep","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Cryosmetics","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","CyanoMin","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","cytbac","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","dogma-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","EINSTED","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","elytron-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Embryoxite","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Enteria","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","enzyva","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","eywa-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","F4U","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","fecundis","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Feedvax","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","food4you","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","fungi-life","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","future-biome","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Geoprot","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","gisens-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","GlycoX","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","HIAMET","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Invitrall","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","kresko-rnatech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","levya","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","limay-biosciences","Undirected","2","funded_by","high","ecosystem_seed","reference_and_capital_graph|Capital relation seen in current graph stack"
"GridX","lipock","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","mavios","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","michroma","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","microgenesis","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","MicroIN","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Migma","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","monte-caldera-technology","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","MZP","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nanogrow-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","NanoInGreen","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nano-jump-bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nanoprox","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Nanotransfer","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Nat4Bio","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","Naturannova","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","naturanova","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","neocell","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","new-organs-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","nunatak-biotech","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","ocular-bio-design","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","onco-precision","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
"GridX","plamic","Undirected","2","funded_by","0.9","canonical_investment","latam_coinvest_network_v3.graphml"
"GridX","Polymera","Undirected","2","funded_by","0.95","canonical_investment","edgeseco.csv"
