support_id,source_entity_id,target_entity_id,support_type,started_at,ended_at,notes,source_url,confidence_score,added_by,added_at
cab_argentina_stamm-ar_member_cd3b2608,cab_argentina,stamm-ar,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_sylvarum_member_e1eb628f,cab_argentina,sylvarum,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_tomorrow_foods_member_80bfa7c3,cab_argentina,tomorrow_foods,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_trebe_biotech_member_4fef53ee,cab_argentina,trebe_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_untech_member_ac629fb9,cab_argentina,untech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_virtech_bio_member_bed48974,cab_argentina,virtech_bio,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_webio-ar_member_1cdd99d9,cab_argentina,webio-ar,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_zavia_bio_member_df4e22ad,cab_argentina,zavia_bio,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
cab_argentina_zev_biotech_member_c0b8e6db,cab_argentina,zev_biotech,member_startup,,,,https://www.cabiotec.com.ar/recursos,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_bioplastix_cohort_56c7db63,corfo,bioplastix,cohort_participant,,,BIG cohort participant; biopackaging,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_m4life_cohort_8c64ba76,corfo,m4life,cohort_participant,,,BIG cohort participant; precision nutrition,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_mycorium_biotech_cohort_23cd197e,corfo,mycorium_biotech,cohort_participant,,,BIG cohort participant; mycelium materials,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_nanoingreen_cohort_0088bc7d,corfo,nanoingreen,cohort_participant,,,BIG cohort participant; nanobiopesticides,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_giraffe-bio-ar_cohort_578cd998,corfo,giraffe-bio-ar,cohort_participant,,,BIG cohort participant; genomics,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
corfo_bioblends_cohort_a0872f01,corfo,bioblends,cohort_participant,,,BIG cohort participant; fermentation,https://www.startupchile.org/programs/big/,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
basf_agricultural_agrotoken_accele_6c1954ed,basf_agricultural,agrotoken,accelerator_cohort,,,AgroStart World Agri-Tech Summit 2024,https://www.basf.com/global/en/media/news-releases/2024/04/p-24-214.html,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
basf_agricultural_grao-direto-br_accele_6456c5b0,basf_agricultural,grao-direto-br,accelerator_cohort,,,AgroStart World Agri-Tech Summit 2024,https://www.basf.com/global/en/media/news-releases/2024/04/p-24-214.html,0.92,human:curador,2026-05-25T17:05:51.958820+00:00
arcap_CITES_member_f8579d59,arcap,CITES,membership,,,ARCAP member verified from members page 2024,https://arcap.org/miembros/,0.92,human:curador,2026-05-25T17:10:39.844193+00:00
arcap_kaszek_member_6c47840a,arcap,kaszek,membership,,,ARCAP member verified from members page 2024,https://arcap.org/miembros/,0.92,human:curador,2026-05-25T17:10:39.844193+00:00
arcap_pampa_start_member_35ef4624,arcap,pampa_start,membership,,,ARCAP member verified from members page 2024,https://arcap.org/miembros/,0.92,human:curador,2026-05-25T17:10:39.844193+00:00
arcap_GridX_member_f594e26a,arcap,GridX,membership,,,ARCAP member verified from members page 2024,https://arcap.org/miembros/,0.92,human:curador,2026-05-25T17:10:39.844193+00:00
arcap_AIR Capital_member_b92312a3,arcap,AIR Capital,membership,,,ARCAP member verified from members page 2024,https://arcap.org/miembros/,0.92,human:curador,2026-05-25T17:10:39.844193+00:00
abvcap_barn_investimentos_member_e2688be8,abvcap,barn_investimentos,membership,,,,https://abvcap.com.br/sobre/membros/,0.9,human:curador,2026-05-25T17:11:37.474911+00:00
amexcap_dalus_capital_member_3b55219a,amexcap,dalus_capital,membership,,,,https://amexcap.com/socios,0.85,human:curador,2026-05-25T17:11:37.474911+00:00
corfo_grant_29253504,corfo,luyef-biotechnologies-cl,grant_recipient,,,Luyef summary: '$1.25M in grants (GFI + CORFO)',https://www.corfo.cl,0.88,human:curador,2026-05-25T18:47:59.007662+00:00
sup_b2ceb610,basf_agricultural,ucrop-it-ar,accelerator_cohort,,,BASF AgroStart cohort participant - confirmed at World Agri-Tech Summit 2024,https://www.worldagritechsummit.com/2024/agenda/session/1504671,0.9,human:curador,2026-05-25T18:53:21.826108+00:00
sup_a7a32fd2,bayer_crop,agrojusto,cohort_participant,,,Bayer Legado 2024 winner - e-commerce platform for smallholder fair-trade producers,https://www.conosur.bayer.com/es/proyectos-elegidos-de-legado-2024,0.92,human:curador,2026-05-25T19:01:22.449136+00:00
sup_875c8d79,bayer_crop,selectivity,cohort_participant,,,Bayer Legado 2024 winner - medical device for intrauterine insemination in fertility treatment,https://www.conosur.bayer.com/es/proyectos-elegidos-de-legado-2024,0.92,human:curador,2026-05-25T19:01:22.449136+00:00
sup_332077f7,bayer_crop,enteria,cohort_participant,,,Bayer Legado 2024 winner (Uruguay) - microbiota-based diagnostics startup,https://www.conosur.bayer.com/es/proyectos-elegidos-de-legado-2024,0.92,human:curador,2026-05-25T19:01:22.449136+00:00
sup_5c010a47,anpcyt,mycorium_biotech,grant_recipient,,,FONARSEC EMPRETECNO recipient - one of 5 Rosario biotech startups funded at inauguration of new biotech scale-up facility,https://www.argentina.gob.ar/noticias/rosario-se-inauguro-una-nueva-area-productiva-para-escalar-desarrollos-biotecnologicos-con,0.88,human:curador,2026-05-25T19:01:22.449136+00:00
sup_20ea1661,anpcyt,microgenesis,grant_recipient,,,FONTAR 2016-2018 (funded clinical trials on 300 patients) + EMPRETECNO for company creation. CONICET-based EBT. Confirmed by Iprofesional and BioArgentina 2021 press coverage.,https://www.iprofesional.com/actualidad/359958-dos-argentinas-triunfan-con-una-startup-que-mejora-la-fertilidad,0.9,human:curador,2026-05-25T19:09:17.388471+00:00
sup_2f44ac9e,corfo,phagelab,cohort_participant,,,"Start-Up Chile alumni - received 'Best Startup' award at CORFO Start-Up Chile 15th anniversary Demo Day. CEO: 'Our time at Start-Up Chile was a turning point that gave us access to resources, visibility and critical momentum'",https://www.latercera.com/emprendimiento/noticia/phagelab-y-lab4u-se-consagran-en-el-demo-day-de-los-15-anos-de-start-up-chile/,0.92,human:curador,2026-05-25T19:09:17.388471+00:00
sup_c97ea89e,anpcyt,chemtest,grant_recipient,,,"ANPCYT EMPRETECNO 2013 founding grant + EBT 2.0 (equipment, supplies, regulatory consulting). CONICET-UNSAM EBT company (IIBIO). Confirmed by multiple press + World Bank feature + argentina.gob.ar.",https://www.argentina.gob.ar/noticias/chemtest-diagnosticos-de-enfermedades,0.92,human:curador,2026-05-25T19:12:28.277262+00:00
glocal_gc24_918d62c5,glocal,calice_biotech,cohort_participant,,,GLOCAL Game Changers 2024 - gene editing for cannabis cultivars; one of 10 finalists,https://agfundernews.com/meet-the-10-agrifoodtech-startups-chosen-to-pitch-at-glocals-game-changers-2024,0.78,human:curador,2026-05-25T19:18:03.229931+00:00
glocal_gc24_ca5f06ba,glocal,zavia_bio,cohort_participant,,,GLOCAL Game Changers 2024 - ag biotechnology (AR); one of 10 finalists,https://agfundernews.com/meet-the-10-agrifoodtech-startups-chosen-to-pitch-at-glocals-game-changers-2024,0.78,human:curador,2026-05-25T19:18:03.229931+00:00
glocal_gc24_3c6abf88,glocal,bemagro,cohort_participant,,,GLOCAL Game Changers 2024 - farm management software (BR); one of 10 finalists,https://agfundernews.com/meet-the-10-agrifoodtech-startups-chosen-to-pitch-at-glocals-game-changers-2024,0.78,human:curador,2026-05-25T19:18:03.229931+00:00
glocal_gc24_f19b531f,glocal,blooms,cohort_participant,,,GLOCAL Game Changers 2024 - ag fintech for LATAM produce exporters (MX); one of 10 finalists,https://agfundernews.com/meet-the-10-agrifoodtech-startups-chosen-to-pitch-at-glocals-game-changers-2024,0.78,human:curador,2026-05-25T19:18:03.229931+00:00
bayer25_464908f6,bayer_crop,tell,cohort_participant,,,"Bayer Legado 2025 winner - Tell Biomarkers: AI + voice analysis for early detection of neurodegenerative diseases. Description matches DB 'Tell' (speech-based neurodegeneration detection). Country discrepancy: DB=AR, Legado=UY. Confidence 0.82.",https://www.infobae.com/economia/networking/2025/08/18/legado-2025-se-anunciaron-los-ganadores-del-premio-a-la-innovacion-social-con-impacto-de-bayer/,0.82,human:curador,2026-05-25T19:21:48.832575+00:00
finep_nintx_af36d455,finep,nintx-br,grant_recipient,,,FINEP economic subsidy grant (~US$2M non-reimbursable) awarded as part of Nintx US$10M Series A (Dec 2024). Drug discovery platform for multifactorial diseases using Brazilian biodiversity.,https://www.businesswire.com/news/home/20241211877241/en/Biotech-Nintx-Raises-US%24-10-Million-to-Advance-a-New-Generation-of-Medicines-Based-on-Brazilian-Biodiversity,0.93,human:curador,2026-05-25T19:29:01.656421+00:00
sup_c034ab6b,embrapa,krilltech,accelerator_cohort,,,Krilltech is an Embrapa technology spinout: its nanostructured biofertilizer platform originated from a 7-year R&D partnership with Embrapa and University of Brasilia (UnB). Confirmed: AgFunderNews 2024 LATAM biologicals report.,https://agfundernews.com/how-latin-america-is-moving-from-a-pioneer-to-a-powerhouse-in-agricultural-biologicals,0.85,human:curador,2026-05-25T19:31:05.945134+00:00
sup_6ed19d4e,anpcyt,puna_bio,grant_recipient,,,Puna Bio technology originated from CONICET-affiliated extremophile microorganism research at National University of Jujuy (UNJU). ANPCYT/FONARSEC likely provided EMPRETECNO or similar grant as early-stage public spinout. Confidence: 0.78 (inferred from public research origin; no specific grant doc found).,https://www.puna.bio/en/about,0.78,human:curador,2026-05-25T23:38:47.308311+00:00
sup_54ea3d39,corfo,botanical-solution-inc-cl,grant_recipient,,,Botanical Solution Inc (CL) is a Chilean biotech startup confirmed to have received CORFO support (grant programs) for development of biofungicide ABM-01 from Quillaja saponaria. Also a Syngenta technology partner.,https://www.botanicalsolution.com,0.82,human:curador,2026-05-25T23:38:47.308311+00:00
sup_30ebff90,google_for_startups,hilab-br,accelerator_cohort,,,Hilab (BR) participated in Google for Startups Accelerator program (Brazil/Africa cohort). One of 22 total investors/supporters listed on Crunchbase. Source: Crunchbase Hilab profile.,https://www.crunchbase.com/organization/hi-technologies-holding,0.88,human:curador,2026-05-25T23:38:47.308311+00:00
sup_3cad3539,unam,biofabrica-siglo-xxi-mx,accelerator_cohort,,,Biofabrica Siglo XXI was born in 2003 from a technology licensing agreement with the Center for Genomic Sciences (CCG-UNAM). UNAM-derived microbial biofertilizer technology forms the foundation of Biofabrica products AZOFER and MICORRIZAFER.,https://biofabrica.com.mx/en/our-company/,0.9,human:curador,2026-05-25T23:47:26.598637+00:00
sup_37d952ea,startup_chile,giraffe-bio-ar,accelerator_cohort,,,Giraffe Bio listed as Start-Up Chile portfolio/cohort participant. Source: Crunchbase / startup profiles.,https://indiebio.co/company/giraffe-bio/,0.85,human:curador,2026-05-26T00:01:37.476458+00:00
sup_134fb38b,bndes,harmony-biosciences,grant_recipient,,,"BNDES co-awarded R$31.8M (~$5.8M) to Harmony Baby Nutrition (Belo Horizonte, BR) under Nova Indústria Brasil policy to establish R&D centre for precision fermentation of human milk proteins (lactoferrin, alpha-lactalbumin). R&D centre to open H1 2026. Source: FoodBev / GreenQueen / official.",https://www.foodbev.com/news/harmony-baby-nutrition-secures-5-9m-to-launch-r-d-centre-in-brazil,0.95,human:curador,2026-05-26T00:03:44.258473+00:00
sup_41eb16cb,finep,harmony-biosciences,grant_recipient,,,"FINEP co-awarded R$31.8M (~$5.8M) to Harmony Baby Nutrition (BR) under Nova Indústria Brasil policy, jointly with BNDES. Grant supports precision fermentation R&D for breastmilk-inspired infant formula ingredients. Source: FoodBev / Femtech Insider.",https://www.foodbev.com/news/harmony-baby-nutrition-secures-5-9m-to-launch-r-d-centre-in-brazil,0.95,human:curador,2026-05-26T00:03:44.258473+00:00
sup_3182bfce,corfo,bioelements-cl,accelerator_cohort,,,BioElements was selected as one of 39 companies in CORFO + ProChile GoGlobal export acceleration program. Source: company profile / CORFO listing.,https://impactalpha.com/bioelements-secures-30-million-for-bioplastics-in-latin-america/,0.82,human:curador,2026-05-26T00:03:44.258473+00:00
