"entity_type","entity_id","entity_name","pipeline_state","scope_decision","review_status","quality_band","data_quality_score_10","source_type","source_url","structured_country","capital_edge_count","needs_source","needs_scope_decision","needs_country","needs_quality_upgrade","needs_capital_edge","priority_score"
"startup","vexxel_biotech","Vexxel Biotech","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","voa","Voa","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://theyieldlablatam.com/companies/voa/","BR","0","False","False","False","False","True","30"
"startup","werk-nvac","WerkénVac","ready_for_semantic","include","reviewed","medium","7","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","30"
"startup","xeptiva","Xeptiva","source_backed_seeded","include","seeded","","","official_portfolio_profile","https://zentynel.com/en/portfolio/","UY","0","False","False","False","False","True","30"
"startup","agrotoken","Agrotoken","ready_for_semantic","include","reviewed","high","8.5","official_website","https://landing.test.agrotoken.io/en/home","AR","0","False","False","False","False","True","25"
"startup","biomas","Biomas","ready_for_semantic","include","reviewed","high","8.5","official_website","https://www.biomas.com/en","BR","0","False","False","False","False","True","25"
"startup","bioplaster_research","BioPlaster Research","ready_for_semantic","include","reviewed","high","9","official_website","https://www.bioplaster-research.com/","MX","0","False","False","False","False","True","25"
"startup","carbonext","Carbonext","ready_for_semantic","include","reviewed","high","8.5","official_website","https://www.carbonext.com.br/en/","BR","0","False","False","False","False","True","25"
"startup","future_cow","Future Cow","ready_for_semantic","include","reviewed","high","9","official_website","https://www.futurecow.com.br/","BR","0","False","False","False","False","True","25"
"startup","ideelab","IdeeLab","ready_for_semantic","include","reviewed","high","9","official_website","https://ideelab.com.br/","BR","0","False","False","False","False","True","25"
"startup","krilltech","Krilltech","ready_for_semantic","include","reviewed","high","9","official_website","https://krilltech.com.br/","BR","0","False","False","False","False","True","25"
"startup","lemu","Lemu","ready_for_semantic","include","reviewed","high","9","official_website","https://www.le.mu/","CL","0","False","False","False","False","True","25"
"startup","mesenchyal_t","Mesenchyal-T","ready_for_semantic","include","reviewed","high","9","official_website","https://mesenchyalt.com.ar/","AR","0","False","False","False","False","True","25"
"startup","mombak","Mombak","ready_for_semantic","include","reviewed","high","9","official_website","https://mombak.com/","BR","0","False","False","False","False","True","25"
"startup","nativas","Nativas","ready_for_semantic","include","reviewed","high","9","official_website","https://nativas.la/","AR","0","False","False","False","False","True","25"
"startup","omica","Omica","ready_for_semantic","include","reviewed","high","9","official_website","https://www.omica.bio/","AR","0","False","False","False","False","True","25"
"startup","pill_ar","Pill.AR","ready_for_semantic","include","reviewed","high","9","official_website","https://pill.ar/","AR","0","False","False","False","False","True","25"
"startup","puna_bio","Puna Bio","source_backed_seeded","include","seeded","high","9","official_website","https://www.puna.bio/en","AR","0","False","False","False","False","True","25"
"startup","qumir_nano","Qumir Nano","source_backed_seeded","include","seeded","high","8.5","candidate_website_from_user_csv","https://qumirnano.bio","AR","0","False","False","False","False","True","25"
"startup","re_green","re.green","ready_for_semantic","include","reviewed","high","9","official_website","https://re.green/en/","BR","0","False","False","False","False","True","25"
"startup","rumina","Rumina","ready_for_semantic","include","reviewed","high","8.5","official_website","https://rumina.com.br/","BR","0","False","False","False","False","True","25"
"startup","sensix","Sensix","ready_for_semantic","include","reviewed","high","8.5","official_website","https://sensix.ag/","BR","0","False","False","False","False","True","25"
"startup","solinftec","Solinftec","ready_for_semantic","include","reviewed","high","8.5","official_website","https://www.solinftec.com/en-us/about/","BR/LatAm","0","False","False","False","False","True","25"
"startup","solubio","Solubio Tecnologias Agricolas","ready_for_semantic","include","reviewed","high","9","official_website","https://www.solubio.agr.br/","BR","0","False","False","False","False","True","25"
"startup","tomorrow_foods","Tomorrow Foods","ready_for_semantic","include","reviewed","high","8.5","official_website","https://www.tomorrowfoods.com.ar/nosotros","AR","0","False","False","False","False","True","25"
"startup","zavia_bio","Zavia Bio","source_backed_seeded","include","seeded","high","8.5","linkedin_company_page","https://ar.linkedin.com/company/zaviabio","AR","0","False","False","False","False","True","25"
"startup","zev_biotech","ZEV Biotech","source_backed_seeded","include","seeded","high","8.5","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","0","False","False","False","False","True","25"
"startup","tech","@Tech","source_backed_seeded","include","seeded","medium","7","official_portfolio_profile","https://theyieldlablatam.com/companies/atech/","BR","1","False","False","False","False","False","10"
"startup","agree","Agree","source_backed_seeded","include","seeded","medium","7.5","official_portfolio_profile","https://theyieldlablatam.com/companies/agree/","AR","1","False","False","False","False","False","10"
"startup","agroadvance","Agroadvance","source_backed_seeded","include","seeded","medium","7","external_profile","https://www.f6s.com/company/agroadvance","BR","1","False","False","False","False","False","10"
"startup","agroforte","Agroforte","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://theyieldlablatam.com/companies/agroforte/","BR","1","False","False","False","False","False","10"
"startup","agrofy","Agrofy","ready_for_semantic","include","reviewed","medium","8","official_website","https://www.agrofy.com/","AR/LatAm","1","False","False","False","False","False","10"
"startup","algaebio","algaebio+","ready_for_semantic","include","reviewed","medium","7.5","official_website","https://algaebioplus.com/","AR","1","False","False","False","False","False","10"
"startup","algalife","Algalife","source_backed_seeded","include","seeded","medium","8","official_portfolio_profile","https://www.gridexponential.com/portfolio","AR","2","False","False","False","False","False","10"
"startup","alkemio","Alkemio","ready_for_semantic","include","reviewed","medium","8","official_website","https://alkemio.tech/","NL/AR","2","False","False","False","False","False","10"
