"fund_id","fund_name","startup_id","startup_name","startup_source_url","startup_source_type","observation_class","edge_source_file","edge_confidence","in_master","master_scope_decision","master_scope_status","macro_theme","structured_country","data_quality_score_10"
"savia_ventures","Savia Ventures","ruedata","Ruedata","https://ruedata.com/","official_website","official_public_profile","https://saviaventures.com/","0.96","True","exclude","confirmed","peripheral or non-core digital ventures","CO/AR","9"
"savia_ventures","Savia Ventures","satellites_on_fire","Satellites on Fire","https://www.satellitesonfire.com/en","official_website","official_public_profile","https://saviaventures.com/","0.96","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"savia_ventures","Savia Ventures","solfium","Solfium","https://solfium.com/en/","official_website","official_public_profile","https://saviaventures.com/","0.96","True","include","confirmed","climate, energy and resource systems","MX/AR","8"
"savia_ventures","Savia Ventures","splight","Splight","https://content.splight-ai.com/blog/ai-powered-grids-the-future-of-efficient-renewable-energy","official_website","official_public_profile","https://saviaventures.com/","0.96","True","include","confirmed","climate, energy and resource systems","US/AR","9"
"SF500","SF500","beam_croptech","BEAM CropTech","https://beamcroptech.com/en/home-en/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8"
"SF500","SF500","biometallum","BioMetallum","https://bio-metallum.com/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"SF500","SF500","biotalife","Biotalife","https://www.biotalife.com/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","BR","8"
"SF500","SF500","dharma_bioscience","Dharma BioScience","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"SF500","SF500","eiru","Eirú","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"SF500","SF500","eureka","Eureka","https://eurekamomentsfactory.com/","public_website","public_profile","https://sf500.com.ar/portfolio/","0.96","True","exclude","confirmed","peripheral or non-core digital ventures","","8"
"SF500","SF500","exomas","Exomas","https://www.exomas.co/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","therapeutics and regenerative medicine","AR","8"
"SF500","SF500","gameet","Gameet","https://www.gameet.life/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","8.5"
"SF500","SF500","inmet","INMET","https://inmet.com.ar/en/biomateriales/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","biobased chemistry and advanced materials","AR","8.5"
"SF500","SF500","libera","Libera","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"SF500","SF500","limay_biosciences","Limay Biosciences","https://cancilleria.gob.ar/en/new-technologies/next-from-argentina-en/limay-biosciences","institutional_public_source","public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","8.5"
"SF500","SF500","m4life","M4Life","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8.5"
"SF500","SF500","mesenchyal_t","Mesenchyal-T","https://mesenchyalt.com.ar/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","therapeutics and regenerative medicine","AR","8.5"
"SF500","SF500","multiplai_health","MultiplAI Health","https://www.multiplaihealth.com/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR/UK","8.5"
"SF500","SF500","mycorium_biotech","Mycorium Biotech","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","biobased chemistry and advanced materials","AR","8.5"
"SF500","SF500","notfossil","NotFossil","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","climate, energy and resource systems","AR","8.5"
"SF500","SF500","oncoliq","Oncoliq","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","9"
"SF500","SF500","pill_ar","Pill.AR","https://pill.ar/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","8.5"
"SF500","SF500","soygreen","SoyGREEN","https://soygreen.bio/","official_website","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","8"
"SF500","SF500","spectrum","Spectrum","","portfolio_or_official_override","public_profile","https://sf500.com.ar/portfolio/","0.96","True","exclude","provisional","peripheral or non-core digital ventures","","8"
"SF500","SF500","tell","Tell","https://theganeshalab.com/startup/tell/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","diagnostics and medtech","AR","8"
"SF500","SF500","tintte","Tintte","https://cancilleria.gob.ar/en/new-technologies/next-form-argentine/tintte","official_public_profile","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","biobased chemistry and advanced materials","AR","8.5"
"SF500","SF500","trebe_biotech","Trebe Biotech","https://sf500.com.ar/","official_portfolio_profile","official_portfolio","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","food biotech and novel ingredients","AR","8.5"
"SF500","SF500","unibaio","Unibaio","https://sosv.com/company/unibaio/","official_company_profile","official_public_profile","https://sf500.com.ar/portfolio/","0.96","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"SOSV_IndieBio","SOSV_IndieBio","argentag","ArgenTAG","https://www.argentag.com/single-cell-solutions","official_website","official_public_profile","https://indiebio.co/company/argentag/","0.97","True","include","confirmed","computational biology and scientific software","AR","8.5"
"SOSV_IndieBio","SOSV_IndieBio","beeflow","Beeflow","https://www.beeflow.com/about-us","official_website","official_public_profile","https://indiebio.co/company/beeflow/","0.97","True","include","confirmed","ag biologicals and crop resilience","US/AR","8.5"
"SOSV_IndieBio","SOSV_IndieBio","michroma","Michroma","https://www.michroma.co/","official_website","official_public_profile","https://indiebio.co/company/michroma/","0.97","True","include","confirmed","food biotech and novel ingredients","AR/US","9"
"SOSV_IndieBio","SOSV_IndieBio","microgenesis","Microgenesis","https://www.microgenesis.net/","official_website","official_public_profile","https://indiebio.co/company/microgenesis/","0.97","True","include","confirmed","diagnostics and medtech","AR/US","9"
"SOSV_IndieBio","SOSV_IndieBio","onco_precision","Onco Precision","https://www.oncoprecision.bio/","official_website","official_public_profile","https://indiebio.co/company/oncoprecision/","0.97","True","include","confirmed","therapeutics and regenerative medicine","US/AR","8.5"
"SOSV_IndieBio","SOSV_IndieBio","puna_bio","Puna Bio","https://www.puna.bio/en","official_website","official_public_profile","https://indiebio.co/company/puna-bio/","0.97","True","include","confirmed","ag biologicals and crop resilience","AR","9"
"SOSV_IndieBio","SOSV_IndieBio","stamm","Stämm","https://www.stamm.bio/","official_website","official_public_profile","https://indiebio.co/company/stamm/","0.97","True","include","confirmed","biomanufacturing and bioindustrial platforms","AR","9"
"sp_ventures","SP Ventures","aegro","Aegro","https://aegro.com.br/","official_website","official_public_profile","https://spventures.com.br/portfolio/","0.96","True","include","confirmed","precision agriculture and resource intelligence","BR","8"
"sp_ventures","SP Ventures","agroadvance","Agroadvance","https://agroadvance.com.br/","official_website","official_public_profile","https://spventures.com.br/portfolio/agroadvance/","0.94","True","exclude","confirmed","peripheral or non-core digital ventures","BR","8.5"
"sp_ventures","SP Ventures","agrofy","Agrofy","https://www.agrofy.com/","official_website","official_public_profile","https://spventures.com.br/portfolio/","0.96","True","include","confirmed","climate, energy and resource systems","AR/LatAm","8"
"sp_ventures","SP Ventures","arado","Arado","https://www.sobre.arado.com.br/","official_website","official_public_profile","https://spventures.com.br/portfolio/","0.96","True","include","confirmed","climate, energy and resource systems","BR","8"
"sp_ventures","SP Ventures","brain_ag","Brain.ag","https://www.serasaexperian.com.br/sala-de-imprensa/agronegocios/serasa-experian-adquire-parte-da-brain-ag-e-fortalece-analise-de-credito-para-o-agronegocio/","secondary_public_profile","public_profile","https://spventures.com.br/portfolio/","0.94","True","include","confirmed","climate, energy and resource systems","BR","8"
"sp_ventures","SP Ventures","bug_agentes_biologicos","BUG Agentes Biologicos","https://spventures.com.br/portfolio/","official_portfolio_profile","official_portfolio","https://spventures.com.br/portfolio/","0.94","True","include","confirmed","ag biologicals and crop resilience","BR","8"
"sp_ventures","SP Ventures","concil","Concil","https://www.spventures.com.br/","official_portfolio_profile","official_portfolio","https://spventures.com.br/portfolio/","0.94","True","exclude","confirmed","peripheral or non-core digital ventures","BR","8.5"
"sp_ventures","SP Ventures","decoy","Decoy","https://spventures.com.br/categorias-portfolio/alternative-inputs-biologicals/","official_portfolio_profile","official_portfolio","https://spventures.com.br/categorias-portfolio/alternative-inputs-biologicals/","0.96","True","include","confirmed","ag biologicals and crop resilience","BR","8"
