startup_id,current_status,new_status,reason
riego-inteligente-paraguay-py,REVIEW,EXCLUDE,No description
scaffold-biotech-uy,REVIEW,EXCLUDE,No description
seedorina-uy,REVIEW,EXCLUDE,No description
semillas-mejoradas-paraguay-py,REVIEW,EXCLUDE,No description
senacyt-pa,REVIEW,EXCLUDE,No description
soillab-peru-pe,REVIEW,EXCLUDE,No description
soiltech-ar,REVIEW,EXCLUDE,No description
soluciones-agricolas-inteligentes-uy,REVIEW,EXCLUDE,No description
sos-biotech-do,REVIEW,EXCLUDE,No description
sos-carbon-mit-spinoff-do,REVIEW,EXCLUDE,No description
sousmile-br,REVIEW,EXCLUDE,No description
sparselab-bo,REVIEW,EXCLUDE,No description
stadinalab-uy,REVIEW,EXCLUDE,No description
sumisawa-ec,REVIEW,EXCLUDE,No description
sunspectra-cr,REVIEW,EXCLUDE,No description
synbio-uruguay-network-uy,REVIEW,EXCLUDE,No description
synthbio-ar,REVIEW,EXCLUDE,No description
tacsibio-pe,REVIEW,EXCLUDE,No description
tagshelf-do,REVIEW,EXCLUDE,No description
tec-emprende-lab-cr,REVIEW,EXCLUDE,No description
techwave-do,REVIEW,EXCLUDE,No description
tecnovax-ar,REVIEW,EXCLUDE,No description
teratech-uy,REVIEW,EXCLUDE,No description
tropicalcompounds-co,REVIEW,EXCLUDE,No description
universidad-nacional-de-asuncion-biotech-group-py,REVIEW,EXCLUDE,No description
university-of-simon-bolivar-health-technology-unit-ugts-ve,REVIEW,EXCLUDE,No description
unu-biolac-collaboration-ve,REVIEW,EXCLUDE,No description
urbanfarm-do,REVIEW,EXCLUDE,No description
urenkoff-sa-pa,REVIEW,EXCLUDE,No description
utpl-science-and-technology-park-ec,REVIEW,EXCLUDE,No description
vaccinehub-cr,REVIEW,EXCLUDE,No description
vaccinelab-colombia-co,REVIEW,EXCLUDE,No description
veintech-br,REVIEW,EXCLUDE,No description
verdexcelerate-re,REVIEW,EXCLUDE,No description
vermibio-peru-pe,REVIEW,EXCLUDE,No description
wakami-gt,REVIEW,EXCLUDE,No description
welli-co,REVIEW,EXCLUDE,No description
wiseconn-chile-cl,REVIEW,EXCLUDE,No description
yummy-rocket-ve,REVIEW,EXCLUDE,No description
yummy-ve,REVIEW,EXCLUDE,No description
zazmic-pa,REVIEW,EXCLUDE,No description
