investment_id,investor_id,startup_id,confidence_score,source
VERIFIED_gridx_qumir_nano,gridx,qumir_nano,0.95,investment_rounds: official portfolio
VERIFIED_gridx_radial,gridx,radial,0.95,investment_rounds: official portfolio
VERIFIED_cites_amnova-biotech-cl,cites,amnova-biotech-cl,0.95,investment_rounds: official portfolio
VERIFIED_cites_baxxis-medtech-cl,cites,baxxis-medtech-cl,0.95,investment_rounds: official portfolio
VERIFIED_vox_capital_magnamed,vox_capital,magnamed,0.95,investment_rounds: official portfolio
VERIFIED_vox_capital_traive,vox_capital,traive,0.95,investment_rounds: official portfolio
VERIFIED_vox_capital_genica,vox_capital,genica,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_axenya,zentynel,axenya,0.95,investment_rounds: official portfolio
VERIFIED_zentynel_microterra,zentynel,microterra,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_verqor,the_yield_lab_latam,verqor,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_blooms,the_yield_lab_latam,blooms,0.95,investment_rounds: official portfolio
VERIFIED_the_yield_lab_latam_beeflow,the_yield_lab_latam,beeflow,0.95,investment_rounds: official portfolio
VERIFIED_endurance_28_dprotein,endurance_28,dprotein,0.95,investment_rounds: official portfolio
VERIFIED_chileglobal_ventures_instacrops-cl,chileglobal_ventures,instacrops-cl,0.95,investment_rounds: official portfolio
